amfi_code,scheme_name,fund_house,category,CAGR_3yr,Sharpe,Alpha,ExpenseRatio,MaxDrawdown,Scorecard_0_100,Overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.33991970400445304,1.4482911703262602,0.2698375144191807,1.46,-0.11265729075028275,85.89743589743588,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.3176924285223732,1.1801011976606504,0.2926358334175106,1.36,-0.18188513572116294,81.7948717948718,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.2957511058901836,1.3067439695428396,0.27330465038306057,1.45,-0.1297396816518679,81.53846153846153,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.3243397122906222,1.0936987435346315,0.2719535450128533,1.38,-0.16217208574644848,80.25641025641023,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.32478927222623,1.0265242847993,0.2119482701352573,0.8,-0.12588275606922517,79.48717948717949,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.35102527889035406,0.998230986863641,0.2607666908004223,1.38,-0.20960883862039192,76.41025641025642,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.3044861306002782,1.208266567372718,0.23201007160635082,1.54,-0.1501238549864533,74.16666666666667,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.2917135767741186,1.2349300257743292,0.2827036785246582,1.6,-0.1639674294693263,73.01282051282051,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.28960211096593724,1.0272133278753695,0.21399784776051212,1.6,-0.11291596329323073,67.37179487179486,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.26663091299543096,0.9453082575156095,0.3033696538698332,1.43,-0.2870600572176455,66.53846153846153,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.26863103668817145,1.1321218524747234,0.26598577542043045,1.61,-0.17248105753451382,65.8974358974359,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.2699350260734621,0.9497958246616044,0.3005787817097677,1.52,-0.31171900300634214,65.83333333333334,12
